,HorseName,HorseOrigin,Age,YearOfBirth,Color,Sex,H_SeasonalStake,H_TotalStake,H_1st,H_2nd,H_3rd,H_Total,H_Trainer,CurrentRating,StartofTheSeasonRating
0,一代莊主,美國,7,2015,栗,閹,Not Available,"$752,750",1,1,0,21,Not Available,20,NotAvailable
1,一切順利,紐西蘭,7,2015,棗,閹,Not Available,$0,0,0,0,1,Not Available,52,NotAvailable
2,一定讚,紐西蘭,7,2015,棗,閹,Not Available,"$790,000",1,1,0,2,Not Available,59,NotAvailable
3,一拍即合,紐西蘭,7,2015,棗,閹,Not Available,"$3,722,800",4,1,3,10,Not Available,82,NotAvailable
4,一擊即中,澳洲,7,2015,棗,閹,Not Available,$0,0,0,0,4,Not Available,40,NotAvailable
5,一見傾心,澳洲,7,2015,棕,閹,Not Available,"$1,235,845",1,0,4,32,Not Available,25,NotAvailable
6,一路順風,澳洲,7,2015,栗,閹,Not Available,"$1,908,605",2,2,5,25,Not Available,46,NotAvailable
7,三圓䮭路,愛爾蘭,7,2015,栗,閹,Not Available,"$4,167,485",4,5,2,43,Not Available,57,NotAvailable
8,上捕先鋒,南非,7,2015,棕,閹,Not Available,"$728,755",1,0,2,29,Not Available,31,NotAvailable
9,上浦福滿,法國,7,2015,棗,閹,Not Available,"$3,251,700",3,3,4,53,Not Available,19,NotAvailable
10,上浦精神,紐西蘭,7,2015,棗,閹,Not Available,"$45,000",0,0,0,8,Not Available,25,NotAvailable
11,上駿奔馳,澳洲,7,2015,棗,閹,Not Available,$0,0,0,0,5,Not Available,57,NotAvailable
12,不羈的風,澳洲,7,2015,灰,閹,Not Available,"$4,010,700",4,4,1,30,Not Available,76,NotAvailable
13,世紀舞王,澳洲,7,2015,棗,閹,Not Available,"$60,000",0,0,0,11,Not Available,49,NotAvailable
14,中華之光,澳洲,7,2015,棗,閹,Not Available,"$4,350,970",4,4,2,50,Not Available,55,NotAvailable
15,乘勢歡心,英國,7,2015,棗,閹,Not Available,"$1,288,090",2,0,0,16,Not Available,51,NotAvailable
16,事事亨通,澳洲,7,2015,栗,閹,Not Available,"$2,145,300",0,3,4,21,Not Available,63,NotAvailable
17,事在必行,澳洲,7,2015,棗,閹,Not Available,"$29,750",0,0,0,1,Not Available,50,NotAvailable
18,亮先生,澳洲,7,2015,棗,閹,Not Available,"$4,588,750",4,1,2,33,Not Available,55,NotAvailable
19,亮麗,法國,7,2015,栗,閹,Not Available,$0,0,0,0,3,Not Available,68,NotAvailable
20,仁者荃心,愛爾蘭,7,2015,棗,閹,Not Available,"$12,740,050",5,4,3,30,Not Available,120,NotAvailable
21,仙履奇遇,紐西蘭,7,2015,棗,閹,Not Available,"$635,480",0,2,1,7,Not Available,57,NotAvailable
22,仙樂勇士,澳洲,7,2015,棗,閹,Not Available,$0,0,0,0,1,Not Available,52,NotAvailable
23,任意駒,英國,7,2015,棗,閹,Not Available,$0,0,0,0,10,Not Available,28,NotAvailable
24,任我行,南非,7,2015,棕,閹,Not Available,"$7,766,800",2,5,0,26,Not Available,88,NotAvailable
25,佳力寶,澳洲,7,2015,棗,閹,Not Available,$0,0,0,0,1,Not Available,52,NotAvailable
26,佳景福星,澳洲,7,2015,棗,閹,Not Available,"$4,020,485",4,2,3,25,Not Available,65,NotAvailable
27,倚蓬萊,美國,7,2015,栗,雌,Not Available,"$2,000,000",0,0,1,1,Not Available,,NotAvailable
28,倫敦塔,日本,7,2015,棗,雄,Not Available,$0,0,0,0,1,Not Available,,NotAvailable
29,倬躍錦標,澳洲,7,2015,棗,閹,Not Available,"$693,000",0,1,0,9,Not Available,78,NotAvailable
30,偉大勝利,愛爾蘭,7,2015,栗,閹,Not Available,"$1,715,694",1,2,1,23,Not Available,63,NotAvailable
31,健康就好,紐西蘭,7,2015,棕,閹,Not Available,$0,0,0,0,5,Not Available,56,NotAvailable
32,健快聯盟,紐西蘭,7,2015,栗,閹,Not Available,"$7,190,950",6,3,3,28,Not Available,74,NotAvailable
33,傑彩繽紛,澳洲,7,2015,棗,閹,Not Available,"$5,318,500",1,5,2,33,Not Available,73,NotAvailable
34,傳奇,澳洲,7,2015,棗,閹,Not Available,"$4,445,855",4,3,4,55,Not Available,37,NotAvailable
35,傳盛,澳洲,7,2015,棗,閹,Not Available,"$7,491,140",5,7,3,35,Not Available,81,NotAvailable
36,優悠皇,南非,7,2015,棗,閹,Not Available,"$605,350",0,1,2,13,Not Available,62,NotAvailable
37,先兵,澳洲,7,2015,棗,閹,Not Available,$0,0,0,0,1,Not Available,52,NotAvailable
38,全力衝,澳洲,7,2015,棗,閹,Not Available,"$255,000",0,1,0,13,Not Available,21,NotAvailable
39,全勝神駒,紐西蘭,7,2015,棗,閹,Not Available,"$1,253,300",1,1,2,16,Not Available,60,NotAvailable
40,全心全意,紐西蘭,7,2015,棗,閹,Not Available,"$1,890,485",2,3,0,28,Not Available,29,NotAvailable
41,八太子,澳洲,7,2015,棕,閹,Not Available,"$6,039,480",6,5,2,37,Not Available,78,NotAvailable
42,八進,愛爾蘭,7,2015,棗,閹,Not Available,"$2,353,890",3,3,2,43,Not Available,37,NotAvailable
43,八駿雄風,紐西蘭,7,2015,栗,閹,Not Available,"$592,500",1,1,0,11,Not Available,34,NotAvailable
44,公証福將,澳洲,7,2015,棗,閹,Not Available,"$6,129,800",4,4,7,49,Not Available,61,NotAvailable
45,共同勝利,澳洲,7,2015,栗,閹,Not Available,"$1,644,950",1,1,1,15,Not Available,73,NotAvailable
46,冠軍車手,日本,7,2015,棗,雄,Not Available,"$858,000",0,0,0,2,Not Available,,NotAvailable
47,冠鋒,紐西蘭,7,2015,棗,閹,Not Available,"$638,845",1,0,0,14,Not Available,56,NotAvailable
48,凱倫致寶,紐西蘭,7,2015,灰,閹,Not Available,"$483,000",0,0,2,14,Not Available,69,NotAvailable
49,凱旋來,南非,7,2015,棗,閹,Not Available,"$1,804,500",1,1,0,18,Not Available,64,NotAvailable
50,凱旋戰士,紐西蘭,7,2015,棕,閹,Not Available,"$137,875",0,0,1,20,Not Available,15,NotAvailable
51,利之贏,澳洲,7,2015,棗,閹,Not Available,"$105,000",0,0,0,15,Not Available,42,NotAvailable
52,前進,紐西蘭,7,2015,棗,閹,Not Available,"$1,898,810",2,2,1,18,Not Available,53,NotAvailable
53,創意天才,澳洲,7,2015,棕,閹,Not Available,"$163,500",0,0,0,8,Not Available,79,NotAvailable
54,創紀錄,澳洲,7,2015,棗,閹,Not Available,"$413,250",1,0,0,17,Not Available,24,NotAvailable
55,力王,西班牙,7,2015,棗,閹,Not Available,"$2,334,255",1,3,4,43,Not Available,34,NotAvailable
56,加州嶺域,愛爾蘭,7,2015,棗,閹,Not Available,"$422,500",0,1,1,14,Not Available,52,NotAvailable
57,加州明雋,愛爾蘭,7,2015,棗,閹,Not Available,"$2,698,895",3,2,5,40,Not Available,34,NotAvailable
58,加州更好,法國,7,2015,棕,閹,Not Available,"$2,974,390",2,3,3,34,Not Available,56,NotAvailable
59,勁力勇士,澳洲,7,2015,棗,閹,Not Available,"$2,063,000",2,0,1,10,Not Available,81,NotAvailable
