,HorseName,HorseOrigin,Age,YearOfBirth,Color,Sex,H_SeasonalStake,H_TotalStake,H_1st,H_2nd,H_3rd,H_Total,Trainer,CurrentRating,StartofTheSeasonRating
0,一代天嬌,澳洲,4,2018,棗,雌,"$103,500","$103,500",0,0,0,1,大衛希斯,80,80
1,一先生,愛爾蘭,4,2018,栗,閹,"$2,722,750","$3,523,450",1,2,2,11,姚本輝,84,77
2,一定美麗,澳洲,6,2016,棗,閹,$0,"$4,646,650",3,2,2,30,蔡約翰,77,84
3,一樣滿意,紐西蘭,5,2017,棗,閹,$0,"$228,800",0,1,0,5,呂健威,48,48
4,一澤千金,巴西,4,2018,棗,閹,$0,$0,0,0,0,4,沈集成,42,44
5,一簾風月,愛爾蘭,3,2019,灰,閹,$0,$0,0,0,0,8,伍鵬志,51,65
6,一絕,澳洲,4,2018,棗／棕,閹,"$64,800","$64,800",0,0,0,3,賀賢,48,49
7,一舖到位,法國,4,2018,深棗,閹,$0,"$265,200",0,1,0,7,姚本輝,45,49
8,一舖成名,澳洲,8,2014,棗,閹,"$846,450","$5,367,020",6,4,5,57,葉楚航,39,32
9,一舖縱橫,澳洲,8,2014,棗,閹,"$302,400","$4,771,750",5,2,1,54,葉楚航,49,49
10,三代同心,愛爾蘭,3,2019,棗,閹,$0,$0,0,0,0,1,告東尼,65,65
11,三劍俠,愛爾蘭,4,2018,棗,閹,"$739,800","$776,200",1,0,1,15,徐雨石,48,42
12,三圓䮭影,英國,3,2019,棗,閹,$0,$0,0,0,0,0,伍鵬志,,
13,三江飛輪,愛爾蘭,4,2018,棗,閹,"$2,083,000","$2,357,750",1,0,1,15,韋達,75,73
14,上市魅力,紐西蘭,3,2019,棗,閹,$0,$0,0,0,0,0,蘇偉賢,52,52
15,上校,紐西蘭,6,2016,棕,閹,"$275,400","$3,305,440",2,4,5,42,姚本輝,45,48
16,上浦精選,紐西蘭,4,2018,灰,閹,$0,$0,0,0,0,2,呂健威,49,52
17,上駿之星,澳洲,5,2017,棗,閹,"$2,318,250","$6,877,300",4,0,0,15,沈集成,99,91
18,不可擋,紐西蘭,4,2018,棗,閹,"$248,400","$1,702,400",1,2,4,13,韋達,56,54
19,世澤歆星,紐西蘭,5,2017,棗,閹,"$426,600","$1,548,000",0,4,2,14,丁冠豪,52,51
20,世界籐王,紐西蘭,3,2019,栗,閹,$0,$0,0,0,0,0,黎昭昇,52,52
21,世紀明達,澳洲,4,2018,栗,閹,$0,$0,0,0,0,1,丁冠豪,52,52
22,中華叻叻,澳洲,4,2018,栗,閹,$0,$0,0,0,0,4,徐雨石,40,43
23,中華威威,澳洲,7,2015,棗,閹,"$124,200","$3,574,210",3,5,4,42,徐雨石,43,48
24,中華盛景,澳洲,5,2017,棗,閹,"$762,300","$7,296,800",3,4,2,18,告東尼,100,98
25,中華英雄,澳洲,3,2019,棗,雄,"$37,800","$135,550",0,0,1,4,大衛希斯,50,53
26,久久為攻,澳洲,4,2018,栗,閹,"$995,760","$1,671,760",1,3,1,13,大衛希斯,54,48
27,久久為王,澳洲,4,2018,棗,閹,"$30,188","$30,188",0,0,0,3,賀賢,60,64
