,名次,馬號,馬名,騎師,練馬師,實際 負磅,排位 體重,檔位,頭馬 距離,沿途 走位,完成 時間,獨贏 賠率,Date,RaceNo,Venue,Class,Distance,VenueCondition,RaceStakes,WinnerNo,nHorse,Winner,PLACE
3,4,1,星運子爵(D187),陳嘉熙,方嘉柏,126,1170,9,3-1/4,9 6 6 4,1:21.84,17.0,2021-09-05,10,沙田,第二班,1400米,好地,"HK$ 2,400,000",2,13,False,False
0,1,2,加州得迅(D276),莫雷拉,告東尼,124,1162,11,-,2 2 1 1,1:21.30,4.0,2021-09-05,10,沙田,第二班,1400米,好地,"HK$ 2,400,000",2,13,True,True
7,8,3,飈驥(C160),賀銘年,丁冠豪,123,1096,10,5-1/2,13 13 13 8,1:22.17,45.0,2021-09-05,10,沙田,第二班,1400米,好地,"HK$ 2,400,000",2,13,False,False
9,10,4,電子群星(C132),史卓豐,文家良,123,1068,1,6-1/4,7 8 8 10,1:22.31,7.3,2021-09-05,10,沙田,第二班,1400米,好地,"HK$ 2,400,000",2,13,False,False
6,7,5,包裝太保(E142),何澤堯,大衛希斯,123,1290,13,4-1/4,12 9 9 7,1:21.97,4.8,2021-09-05,10,沙田,第二班,1400米,好地,"HK$ 2,400,000",2,13,False,False
12,13,6,順勢贏(E043),潘頓,沈集成,123,1079,8,62-1/2,1 1 3 13,1:31.29,6.1,2021-09-05,10,沙田,第二班,1400米,好地,"HK$ 2,400,000",2,13,False,False
4,5,7,勝利威龍(C292),田泰安,呂健威,121,1088,6,3-3/4,5 7 7 5,1:21.90,13.0,2021-09-05,10,沙田,第二班,1400米,好地,"HK$ 2,400,000",2,13,False,False
10,11,8,金哥兒(E236),霍宏聲,苗禮德,120,1220,12,6-1/2,11 12 11 11,1:22.32,81.0,2021-09-05,10,沙田,第二班,1400米,好地,"HK$ 2,400,000",2,13,False,False
1,2,9,雪山飛狐(E408),巴度,韋達,119,1113,4,2-1/4,3 3 5 2,1:21.65,5.1,2021-09-05,10,沙田,第二班,1400米,好地,"HK$ 2,400,000",2,13,False,True
11,12,10,牛角仔(C234),黎海榮,蘇偉賢,119,1126,2,9,10 11 12 12,1:22.72,122.0,2021-09-05,10,沙田,第二班,1400米,好地,"HK$ 2,400,000",2,13,False,False
2,3,11,電訊巴打(D482),蔡明紹,徐雨石,118,1102,5,2-1/4,4 5 2 3,1:21.66,15.0,2021-09-05,10,沙田,第二班,1400米,好地,"HK$ 2,400,000",2,13,False,True
5,6,12,超級軍團(E382),楊明綸,方嘉柏,118,1206,3,4,8 10 10 6,1:21.92,102.0,2021-09-05,10,沙田,第二班,1400米,好地,"HK$ 2,400,000",2,13,False,False
8,9,13,帝豪寶寶(A050),潘明輝,沈集成,115,1224,7,5-3/4,6 4 4 9,1:22.23,68.0,2021-09-05,10,沙田,第二班,1400米,好地,"HK$ 2,400,000",2,13,False,False
4,5,1,綠續爆發(E104),彭國年,姚本輝,133,1063,5,2,3 2 2 5,1:22.97,10.0,2021-09-05,1,沙田,第五班,1400米,好地,"HK$ 780,000",12,14,False,False
10,11,2,型感(D296),霍宏聲,霍利時,132,1264,9,6,10 12 13 11,1:23.62,8.0,2021-09-05,1,沙田,第五班,1400米,好地,"HK$ 780,000",12,14,False,False
