,TrainerName,No_1st,No_2nd,No_3rd,No_4th,No_5th,TotalRides,TotalStakes
0,告東尼,22,18,7,20,19,166,"$56,723,188"
1,羅富全,21,20,20,16,19,187,"$43,057,965"
2,蔡約翰,20,18,24,16,13,189,"$40,593,285"
3,呂健威,19,16,11,11,17,147,"$32,160,133"
4,沈集成,15,29,15,24,23,190,"$54,631,960"
5,方嘉柏,15,15,24,18,11,179,"$25,030,670"
6,伍鵬志,14,17,19,18,10,145,"$21,138,205"
7,蘇偉賢,14,11,14,11,11,132,"$17,267,300"
8,容天鵬,14,10,7,13,9,135,"$15,577,725"
9,姚本輝,14,8,17,16,16,155,"$19,431,065"
10,大衛希斯,13,9,13,13,16,152,"$20,353,935"
11,文家良,11,13,9,11,8,121,"$17,456,475"
12,賀賢,10,11,7,8,12,131,"$14,441,663"
13,韋達,10,9,18,12,23,168,"$16,068,150"
14,何良,8,4,4,2,0,59,"$9,168,775"
15,葉楚航,7,12,6,7,11,130,"$8,846,175"
16,丁冠豪,6,5,8,8,3,109,"$7,648,713"
17,鄭俊偉,4,8,8,5,1,84,"$6,316,100"
18,徐雨石,4,6,7,5,6,118,"$5,946,150"
19,黎昭昇,4,3,2,7,6,73,"$3,833,895"
20,高伯新,3,3,4,4,8,93,"$19,674,375"
21,苗禮德,2,6,3,6,10,113,"$6,808,100"
24,手塚貴久,1,0,0,0,0,2,"$12,540,000"
25,費伯華,0,1,0,0,0,1,"$4,840,000"
26,安田隆行,0,1,0,0,0,2,"$8,080,000"
27,凌靄琛,0,0,1,0,0,1,"$3,000,000"
28,尾關知人,0,0,1,0,0,1,"$2,200,000"
29,武英智,0,0,0,0,1,1,"$792,000"
30,岳伯仁,0,0,0,0,1,3,"$726,000"
31,堀宣行,0,0,0,0,0,0,$0
32,馬定賢,0,0,0,0,0,1,$0
33,藤岡健一,0,0,0,0,0,1,$0
34,杜誠高,0,0,0,0,0,1,"$440,000"
35,錫丹璧,0,0,0,0,0,1,$0
36,木村哲也,0,0,0,0,0,1,"$680,000"
37,松下武士,0,0,0,0,0,1,$0
38,高野友和,0,0,0,0,0,1,$0
39,池江泰壽,0,0,0,0,0,1,$0
40,宗像義忠,0,0,0,0,0,1,$0
41,矢作芳人,0,0,0,0,0,1,$0
