,名次,馬號,馬名,騎師,練馬師,實際負磅,排位體重,檔位,頭馬距離,沿途走位,完成時間,獨贏賠率,Date,RaceNo,Venue,Class,Distance,VenueCondition,RaceStakes,WinnerNo,nHorse,Winner,PLACE
3,4,1,表表馬(C233),田泰安,丁冠豪,133,1140,6,1-1/4,1 1 2 4,1:36.09,7.2,2020-09-06,1,沙田,第五班,1600米,好地,"HK$ 750,000",5,12,False,False
8,9,2,如沐春風(B150),薛恩,鄭俊偉,130,1082,5,3-3/4,12 9 8 9,1:36.49,15.0,2020-09-06,1,沙田,第五班,1600米,好地,"HK$ 750,000",5,12,False,False
10,11,3,靈鋒(A245),賀銘年,苗禮德,129,1031,12,5-1/2,11 12 12 11,1:36.77,6.0,2020-09-06,1,沙田,第五班,1600米,好地,"HK$ 750,000",5,12,False,False
11,12,4,任意駒(C047),黃皓楠,徐雨石,126,1076,10,7-1/4,10 10 11 12,1:37.06,126.0,2020-09-06,1,沙田,第五班,1600米,好地,"HK$ 750,000",5,12,False,False
0,1,5,開心大師(B222),莫雷拉,方嘉柏,128,1070,3,-,7 8 6 1,1:35.89,2.6,2020-09-06,1,沙田,第五班,1600米,好地,"HK$ 750,000",5,12,True,True
6,7,6,君臨大地(V192),黎海榮,何良,127,975,9,2,6 6 9 7,1:36.20,19.0,2020-09-06,1,沙田,第五班,1600米,好地,"HK$ 750,000",5,12,False,False
4,5,7,環保時代(C355),何澤堯,鄭俊偉,126,1052,7,1-1/2,9 11 10 5,1:36.13,36.0,2020-09-06,1,沙田,第五班,1600米,好地,"HK$ 750,000",5,12,False,False
5,6,8,志聰明(C319),蔡明紹,文家良,124,1199,11,1-3/4,4 4 4 6,1:36.17,7.7,2020-09-06,1,沙田,第五班,1600米,好地,"HK$ 750,000",5,12,False,False
7,8,9,西夏之王(C295),潘明輝,蘇偉賢,119,1055,4,2-3/4,3 5 5 8,1:36.32,61.0,2020-09-06,1,沙田,第五班,1600米,好地,"HK$ 750,000",5,12,False,False
2,3,10,盛勢(V243),梁家俊,葉楚航,119,1085,1,1-1/4,5 3 3 3,1:36.07,7.3,2020-09-06,1,沙田,第五班,1600米,好地,"HK$ 750,000",5,12,False,True
1,2,11,神馬飛揚(V368),巫顯東,鄭俊偉,115,1085,8,3/4,2 2 1 2,1:36.03,13.0,2020-09-06,1,沙田,第五班,1600米,好地,"HK$ 750,000",5,12,False,True
9,10,12,運來寶兒(B444),楊明綸,容天鵬,116,1089,2,5-1/4,8 7 7 10,1:36.73,58.0,2020-09-06,1,沙田,第五班,1600米,好地,"HK$ 750,000",5,12,False,False
2,3,1,明月昇輝(A324),田泰安,韋達,133,1088,11,1-1/4,10 9 3,1:09.92,5.6,2020-09-06,2,沙田,第五班,1200米,好地,"HK$ 750,000",11,13,False,True
10,11,2,赤水神駒(V364),周俊樂,葉楚航,123,1183,12,8,2 4 11,1:11.01,6.2,2020-09-06,2,沙田,第五班,1200米,好地,"HK$ 750,000",11,13,False,False
1,2,3,電訊飛彈(D209),潘頓,葉楚航,132,1266,2,1/2,5 5 2,1:09.83,13.0,2020-09-06,2,沙田,第五班,1200米,好地,"HK$ 750,000",11,13,False,True
4,5,4,龍鳳情祥(B185),薛恩,賀賢,129,1058,13,2-1/2,12 13 5,1:10.14,15.0,2020-09-06,2,沙田,第五班,1200米,好地,"HK$ 750,000",11,13,False,False
6,7,5,豹子膽(C389),史卓豐,徐雨石,126,1143,4,3-1/4,1 1 7,1:10.23,6.6,2020-09-06,2,沙田,第五班,1200米,好地,"HK$ 750,000",11,13,False,False
11,12,6,娛樂大少(B060),梁家俊,何良,124,1170,7,9-1/2,11 11 12,1:11.25,80.0,2020-09-06,2,沙田,第五班,1200米,好地,"HK$ 750,000",11,13,False,False
3,4,7,獵狐章者(B187),莫雷拉,呂健威,122,1005,5,1-3/4,7 6 4,1:10.02,9.1,2020-09-06,2,沙田,第五班,1200米,好地,"HK$ 750,000",11,13,False,False
5,6,8,皇家魅力(A356),巴度,苗禮德,122,1141,9,2-3/4,13 12 6,1:10.16,22.0,2020-09-06,2,沙田,第五班,1200米,好地,"HK$ 750,000",11,13,False,False
8,9,9,電子傳承(C322),賀銘年,方嘉柏,120,1108,6,6-1/2,3 2 9,1:10.77,8.4,2020-09-06,2,沙田,第五班,1200米,好地,"HK$ 750,000",11,13,False,False
12,13,10,銳俊良駒(C513),蔡明紹,容天鵬,119,1056,3,14-3/4,6 10 13,1:12.09,180.0,2020-09-06,2,沙田,第五班,1200米,好地,"HK$ 750,000",11,13,False,False
0,1,11,友盈有款(B182),楊明綸,大衛希斯,119,1065,8,-,9 7 1,1:09.73,4.2,2020-09-06,2,沙田,第五班,1200米,好地,"HK$ 750,000",11,13,True,True
7,8,12,漸信龍駒(C017),陳嘉熙,葉楚航,110,1054,1,5-1/4,4 3 8,1:10.56,21.0,2020-09-06,2,沙田,第五班,1200米,好地,"HK$ 750,000",11,13,False,False
9,10,13,靈光八號(C154),巫顯東,鄭俊偉,111,1061,10,6-3/4,8 8 10,1:10.83,130.0,2020-09-06,2,沙田,第五班,1200米,好地,"HK$ 750,000",11,13,False,False
2,3,1,運來福星(C473),史卓豐,徐雨石,133,1009,7,2-1/2,10 10 3,1:10.01,17.0,2020-09-06,3,沙田,第四班,1200米,好地,"HK$ 1,000,000",2,14,False,True
0,1,2,英明勇將(T348),何澤堯,呂健威,130,1079,2,-,11 11 1,1:09.60,6.2,2020-09-06,3,沙田,第四班,1200米,好地,"HK$ 1,000,000",2,14,True,True
10,11,3,超速(D161),賀銘年,苗禮德,125,1088,5,5-1/2,14 12 11,1:10.49,119.0,2020-09-06,3,沙田,第四班,1200米,好地,"HK$ 1,000,000",2,14,False,False
4,5,4,皆大開心(D364),潘頓,容天鵬,124,1156,4,3-1/2,8 8 5,1:10.15,4.5,2020-09-06,3,沙田,第四班,1200米,好地,"HK$ 1,000,000",2,14,False,False
7,8,5,上校(D090),波健士,姚本輝,124,1148,3,4,4 3 8,1:10.24,17.0,2020-09-06,3,沙田,第四班,1200米,好地,"HK$ 1,000,000",2,14,False,False
11,12,6,怪獸厨神(D411),巫顯東,何良,121,1087,11,8-1/2,1 2 12,1:10.95,46.0,2020-09-06,3,沙田,第四班,1200米,好地,"HK$ 1,000,000",2,14,False,False
12,13,7,美活人生(D398),蔡明紹,沈集成,123,1137,12,11,12 13 13,1:11.34,133.0,2020-09-06,3,沙田,第四班,1200米,好地,"HK$ 1,000,000",2,14,False,False
5,6,8,喜駿之星(D033),郭能,文家良,123,1130,6,3-1/2,5 5 6,1:10.15,4.7,2020-09-06,3,沙田,第四班,1200米,好地,"HK$ 1,000,000",2,14,False,False
9,10,9,深愛(A088),黃皓楠,葉楚航,120,1076,1,5-1/4,9 9 10,1:10.44,41.0,2020-09-06,3,沙田,第四班,1200米,好地,"HK$ 1,000,000",2,14,False,False
13,14,10,魅力漢子(C412),莫雷拉,蔡約翰,121,1088,10,17-1/4,3 4 14,1:12.35,30.0,2020-09-06,3,沙田,第四班,1200米,好地,"HK$ 1,000,000",2,14,False,False
6,7,11,活力長勝(C498),楊明綸,丁冠豪,120,1004,14,3-3/4,13 14 7,1:10.20,13.0,2020-09-06,3,沙田,第四班,1200米,好地,"HK$ 1,000,000",2,14,False,False
1,2,12,雄龍(C191),巴度,蘇偉賢,116,1129,8,1-1/4,6 6 2,1:09.79,9.0,2020-09-06,3,沙田,第四班,1200米,好地,"HK$ 1,000,000",2,14,False,True
8,9,13,龍鑽輝煌(D143),田泰安,告東尼,115,1121,9,5,2 1 9,1:10.40,5.1,2020-09-06,3,沙田,第四班,1200米,好地,"HK$ 1,000,000",2,14,False,False
3,4,14,金剛石(C106),潘明輝,鄭俊偉,112,1123,13,2-1/2,7 7 4,1:10.01,37.0,2020-09-06,3,沙田,第四班,1200米,好地,"HK$ 1,000,000",2,14,False,False
8,9,1,天天智庫(D231),周俊樂,容天鵬,123,1008,3,6,3 4 9,1:10.36,44.0,2020-09-06,4,沙田,第四班,1200米,好地,"HK$ 1,000,000",2,14,False,False
0,1,2,特醒(C060),潘頓,蘇偉賢,130,1157,11,-,9 9 1,1:09.40,4.6,2020-09-06,4,沙田,第四班,1200米,好地,"HK$ 1,000,000",2,14,True,True
5,6,3,荷花福星(C311),郭能,蘇保羅,130,1128,5,3-1/2,8 8 6,1:09.94,4.4,2020-09-06,4,沙田,第四班,1200米,好地,"HK$ 1,000,000",2,14,False,False
11,12,4,好運寶寶(D372),巴度,告東尼,130,1193,6,8-1/2,5 5 12,1:10.76,9.0,2020-09-06,4,沙田,第四班,1200米,好地,"HK$ 1,000,000",2,14,False,False
2,3,5,發財好市(D414),楊明綸,鄭俊偉,125,1272,7,1-1/4,1 1 3,1:09.59,3.3,2020-09-06,4,沙田,第四班,1200米,好地,"HK$ 1,000,000",2,14,False,True
3,4,6,富存大師(D371),何澤堯,呂健威,124,1087,12,1-1/4,7 6 4,1:09.61,82.0,2020-09-06,4,沙田,第四班,1200米,好地,"HK$ 1,000,000",2,14,False,False
12,13,7,真精采(C270),賀銘年,苗禮德,124,1155,10,9-1/4,2 2 13,1:10.90,23.0,2020-09-06,4,沙田,第四班,1200米,好地,"HK$ 1,000,000",2,14,False,False
9,10,8,大軍閥(C113),莫雷拉,蔡約翰,124,1121,9,7,4 3 10,1:10.51,26.0,2020-09-06,4,沙田,第四班,1200米,好地,"HK$ 1,000,000",2,14,False,False
13,14,9,清新動力(B067),黃俊,徐雨石,117,992,13,10-1/2,13 14 14,1:11.07,85.0,2020-09-06,4,沙田,第四班,1200米,好地,"HK$ 1,000,000",2,14,False,False
1,2,10,春風得意(C309),梁家俊,何良,119,1054,8,3/4,11 11 2,1:09.52,16.0,2020-09-06,4,沙田,第四班,1200米,好地,"HK$ 1,000,000",2,14,False,True
6,7,11,中華威威(D075),田泰安,韋達,119,1212,4,3-1/2,10 10 7,1:09.94,12.0,2020-09-06,4,沙田,第四班,1200米,好地,"HK$ 1,000,000",2,14,False,False
10,11,12,火箭砲(C520),黃皓楠,丁冠豪,114,978,14,7-3/4,14 13 11,1:10.64,405.0,2020-09-06,4,沙田,第四班,1200米,好地,"HK$ 1,000,000",2,14,False,False
7,8,13,老友威威(T349),潘明輝,葉楚航,113,1213,1,5-1/2,6 7 8,1:10.28,14.0,2020-09-06,4,沙田,第四班,1200米,好地,"HK$ 1,000,000",2,14,False,False
4,5,14,合夥年代(C534),波健士,蘇偉賢,114,1109,2,3,12 12 5,1:09.87,42.0,2020-09-06,4,沙田,第四班,1200米,好地,"HK$ 1,000,000",2,14,False,False
