,RDate,LastRace_Date,LastRace_nDays,RPlace,PreviousPlace,AvgPlace3,AvgPlace5,RRating,Weight,OldWeight,WeightDiff
2,2021-10-10,2021-07-14 00:00:00,88.0,14,7.0,10.0,11.4,23,1102.0,1120.0,-18.0
5,2021-07-14,2021-07-11 00:00:00,3.0,7,13.0,12.333333333333334,11.4,30,1120.0,1129.0,-9.0
7,2021-07-11,2021-06-26 00:00:00,15.0,13,10.0,12.333333333333334,11.6,30,1129.0,1123.0,6.0
9,2021-06-26,2021-05-23 00:00:00,34.0,10,14.0,11.333333333333334,12.0,33,1123.0,1122.0,1.0
11,2021-05-23,2021-04-11 00:00:00,42.0,14,13.0,11.333333333333334,11.8,36,1122.0,1122.0,0.0
13,2021-04-11,2021-03-10 00:00:00,32.0,13,7.0,11.0,9.4,39,1122.0,1133.0,-11.0
15,2021-03-10,2021-02-14 00:00:00,24.0,7,14.0,13.0,8.4,41,1133.0,1134.0,-1.0
17,2021-02-14,2021-01-31 00:00:00,14.0,14,12.0,8.666666666666666,6.8,42,1134.0,1136.0,-2.0
19,2021-01-31,2020-09-06 00:00:00,147.0,12,13.0,5.333333333333333,6.8,42,1136.0,1112.0,24.0
21,2020-09-06,2020-07-12 00:00:00,56.0,13,1.0,3.0,6.4,42,1112.0,1073.0,39.0
24,2020-07-12,2020-07-01 00:00:00,11.0,1,2.0,6.666666666666667,7.8,37,1073.0,1073.0,0.0
26,2020-07-01,2020-06-14 00:00:00,17.0,2,6.0,9.666666666666666,8.2,37,1073.0,1088.0,-15.0
28,2020-06-14,2020-05-27 00:00:00,18.0,6,12.0,10.333333333333334,9.2,40,1088.0,1089.0,-1.0
30,2020-05-27,2020-05-09 00:00:00,18.0,12,11.0,7.666666666666667,9.6,43,1089.0,1084.0,5.0
32,2020-05-09,2020-02-02 00:00:00,97.0,11,8.0,7.666666666666667,9.4,45,1084.0,1075.0,9.0
34,2020-02-02,2019-12-29 00:00:00,35.0,8,4.0,9.666666666666666,10.0,47,1075.0,1087.0,-12.0
36,2019-12-29,2019-12-01 00:00:00,28.0,4,11.0,11.666666666666666,11.2,49,1087.0,1106.0,-19.0
38,2019-12-01,2019-11-09 00:00:00,22.0,11,14.0,11.666666666666666,11.25,52,1106.0,1103.0,3.0
40,2019-11-09,2019-10-12 00:00:00,28.0,14,10.0,10.333333333333334,10.333333333333334,55,1103.0,1103.0,0.0
42,2019-10-12,2019-09-08 00:00:00,34.0,10,11.0,10.5,10.5,57,1103.0,1096.0,7.0
44,2019-09-08,0,100.0,11,10.0,10.0,10.0,57,1096.0,0.0,0.0
