,feature
0,WeightDiff
1,CombinedRating
2,WinOdds
3,H_TotalStake
4,H_Total
5,LastRace_nDays
6,J_Rate_win
7,J_Rate_place
8,J_Rate_show
9,T_Rate_win
10,T_Rate_place
11,T_Rate_show
12,H_Rate_win
13,H_Rate_place
14,H_Rate_show
15,ActualWeight_norm
16,J_Rate_win_norm
17,J_Rate_place_norm
18,J_Rate_show_norm
19,T_Rate_win_norm
20,T_Rate_show_norm
21,H_TotalStake_norm
22,H_Total_norm
23,H_Rate_win_norm
24,H_Rate_place_norm
25,H_Rate_show_norm
26,H_Age_norm
27,LastRace_nDays_norm
28,PreviousPlace_norm
29,AvgPlace5_norm
30,WeightDiff_norm
31,CombinedRating_norm
